air_temp,Difuse Horizontal Irradiation,Direct Normal Irradiation,Global Horizontal Irradiation,Global Tilted Irradiation,timestamp,active_power_mean_w,neg_ac_energy_wh,pos_ac_energy_wh,hour,date,input_energy_wh,efficiency
17,0,0,0,0,2024-01-01 05:30:00+03:00,0,0,0,5.5,2024-01-01,0.0,0.0
17,0,0,0,0,2024-01-01 06:00:00+03:00,0,0,0,6.0,2024-01-01,0.0,0.0
17,0,0,0,0,2024-01-01 06:30:00+03:00,0,0,69,6.5,2024-01-01,0.0,0.0
17,20,38,23,18,2024-01-01 07:00:00+03:00,26522,0,6286,7.0,2024-01-01,35283.6,0.17815642394766976
17,82,28,86,79,2024-01-01 07:30:00+03:00,72593,0,18529,7.5,2024-01-01,154855.80000000002,0.11965325160568734
18,141,0,141,136,2024-01-01 08:00:00+03:00,106987,0,27399,8.0,2024-01-01,266587.2,0.10277687750949782
19,211,0,211,204,2024-01-01 08:30:00+03:00,201937,0,53488,8.5,2024-01-01,399880.8,0.13375986043841065
20,230,277,373,299,2024-01-01 09:00:00+03:00,350902,0,90927,9.0,2024-01-01,586099.8,0.15513910770827766
21,259,362,476,380,2024-01-01 09:30:00+03:00,177736,0,45985,9.5,2024-01-01,744876.0,0.06173510758837713
21,282,414,568,456,2024-01-01 10:00:00+03:00,426873,0,100924,10.0,2024-01-01,893851.2000000001,0.1129091732494178
22,218,650,713,551,2024-01-01 10:30:00+03:00,377542,0,93283,10.5,2024-01-01,1080070.2,0.08636753425842135
23,125,880,849,646,2024-01-01 11:00:00+03:00,191587,0,51875,11.0,2024-01-01,1266289.2,0.040966155282695295
24,221,721,849,667,2024-01-01 11:30:00+03:00,474751,0,117886,11.5,2024-01-01,1307453.4000000001,0.09016459018730609
24,139,888,943,732,2024-01-01 12:00:00+03:00,507239,0,129989,12.0,2024-01-01,1434866.4000000001,0.09059310330216108
25,228,737,909,722,2024-01-01 12:30:00+03:00,320478,0,83045,12.5,2024-01-01,1415264.4000000001,0.05867808163619462
25,437,337,750,644,2024-01-01 13:00:00+03:00,605120,0,155032,13.0,2024-01-01,1262368.8,0.12281038631499765
26,137,895,956,744,2024-01-01 13:30:00+03:00,478632,0,129562,13.5,2024-01-01,1458388.8,0.08883913535265767
26,164,833,904,704,2024-01-01 14:00:00+03:00,522373,0,133020,14.0,2024-01-01,1379980.8,0.09639264546289339
26,215,715,816,640,2024-01-01 14:30:00+03:00,431539,0,111094,14.5,2024-01-01,1254528.0,0.08855442046729925
26,116,884,810,609,2024-01-01 15:00:00+03:00,373798,0,98301,15.0,2024-01-01,1193761.8,0.08234557346365079
26,132,812,711,526,2024-01-01 15:30:00+03:00,311750,0,77822,15.5,2024-01-01,1031065.2000000001,0.07547728310488996
26,121,779,615,441,2024-01-01 16:00:00+03:00,311658,0,78139,16.0,2024-01-01,864448.2000000001,0.09039176667844295
25,146,630,486,342,2024-01-01 16:30:00+03:00,180863,0,47050,16.5,2024-01-01,670388.4,0.07018319529395198
24,199,251,313,248,2024-01-01 17:00:00+03:00,86170,0,22269,17.0,2024-01-01,486129.60000000003,0.04580877198179251
24,111,449,250,156,2024-01-01 17:30:00+03:00,58503,0,15197,17.5,2024-01-01,305791.2,0.0496973097983199
24,49,560,169,59,2024-01-01 18:00:00+03:00,1646,14,452,18.0,2024-01-01,115651.8,0.00390828331249492
23,31,35,36,29,2024-01-01 18:30:00+03:00,0,0,0,18.5,2024-01-01,56845.8,0.0
22,0,0,0,0,2024-01-01 19:00:00+03:00,0,0,0,19.0,2024-01-01,0.0,0.0
22,0,0,0,0,2024-01-01 19:30:00+03:00,0,0,0,19.5,2024-01-01,0.0,0.0
21,0,0,0,0,2024-01-01 20:00:00+03:00,0,0,0,20.0,2024-01-01,0.0,0.0
21,0,0,0,0,2024-01-01 20:30:00+03:00,0,0,0,20.5,2024-01-01,0.0,0.0
20,0,0,0,0,2024-01-01 21:00:00+03:00,0,0,0,21.0,2024-01-01,0.0,0.0
20,0,0,0,0,2024-01-01 21:30:00+03:00,0,0,0,21.5,2024-01-01,0.0,0.0
19,0,0,0,0,2024-01-01 22:00:00+03:00,0,0,0,22.0,2024-01-01,0.0,0.0
